ID Producto,Nombre,Categoría,Fecha Ingreso,Fecha Vencimiento,Cantidad,Precio
1,Maruchan,comida rapida,2025-11-11 00:00:00,2028,1000,20.00
3,Jamon,Alimentos,2025-11-12 00:00:00,2027,15,25.00
4,Spaguetti,Alimentos,2024-11-14 00:00:00,2026,20,20.00
5,mango,Alimentos,2024-11-21 00:00:00,2024,1000,200.00
6,mango,fruta,2024-11-14 15:06:09,2026,2000,50.00
7,Gallo,Animal,2024-11-14 15:10:08,2028,25,20.00
8,banana,fruta,2025-11-11 00:00:00,2028,2000,20.00
9,kiwi,fruta,2025-11-11 00:00:00,2028,2000,20.00
10,mandarina,mani,2025-11-11 00:00:00,2028,2000,20.00
11,manzana,fruta,2025-11-11 00:00:00,2028,2000,20.00
13,dodo,animal,2025-11-11 00:00:00,2028,2000,20.00
14,perro,animal,2025-11-11 00:00:00,2028,2000,20.00
15,gato,animal,2025-11-11 00:00:00,2028,2000,4000.00
17,ibuprofeno,medicamento,2025-11-11 00:00:00,2028,2000,20.00
19,aceptaminofen,medicamento,2025-11-11 00:00:00,2028,2000,20.00
20,aceptaminofen,medicamento,2025-11-11 00:00:00,2028,2000,20.00
21,spaguetti chino,alimentos,2025-11-11 00:00:00,2028,2000,20.00
22,spaguetti taulon,alimentos,2025-11-11 00:00:00,2028,2000,20.00
23,spaguetti picante,alimentos,2025-11-11 00:00:00,2028,2000,20.00
24,spaguetti ramen,alimentos,2025-11-11 00:00:00,2028,2000,20.00
25,Maruchan,alimentos,2024-10-11 00:00:00,2025,20,20.00
26,margarita,alimentos,2024-10-11 00:00:00,2025,20,40000.00
28,Alka D,Medicamento,2025-12-10 00:00:00,2040,20,20.00
